url,status,first_seen,last_seen,last_price,last_price_date,sold_date,year,make,model,variant,body_type,odometer,transmission,rego,fuel_type,location
car/14925273/toyota/estima/vic/maidstone/van,sold,2026-01-25T15:33:31,2026-01-30T17:02:17,,2026-01-30T17:02:17,2026-02-12T06:04:59,2010,Toyota,Estima,G,Commercial,98339.0,Automatic,,Unleaded,VIC
car/14920741/toyota/aqua/vic/maidstone/hatchback,sold,2026-01-25T15:33:31,2026-01-25T18:47:02,,2026-01-25T18:47:02,2026-01-28T04:26:19,2015,Toyota,Aqua,S,Hatch,67764.0,Automatic,,Unleaded,VIC
car/14925288/toyota/hilux/vic/balwyn/dual-cab,sold,2026-01-25T15:33:31,2026-01-30T17:02:17,72990.0,2026-01-28T04:26:19,2026-02-12T06:04:59,2025,Toyota,Hilux,Rogue 48V (4X4),Double Cab Pick Up,7329.0,Automatic,2026-03-18,Hybrid,VIC
car/14928394/toyota/fj-cruiser/vic/balwyn/suv,sold,2026-01-25T15:33:31,2026-01-30T17:02:17,39990.0,2026-01-30T01:30:27,2026-02-12T06:04:59,2014,Toyota,FJ Cruiser,,Wagon,121686.0,Automatic,2026-04-03,Premium,VIC
car/14620529/toyota/corolla/vic/west-footscray/sedan,active,2026-01-25T15:33:31,2026-02-27T23:28:58,9999.0,2026-01-25T15:33:31,,2010,Toyota,Corolla,Ascent,Sedan,205632,Automatic,,Unleaded,VIC
car/14513955/toyota/hilux/vic/west-footscray/dual-cab,sold,2026-01-25T15:33:31,2026-02-27T01:56:26,37990.0,2026-01-25T15:33:31,2026-02-27T23:28:58,2015,Toyota,Hilux,Sr5 (4X4),Dual Cab Utility,150933.0,Automatic,2026-01-22,Diesel,VIC
car/14760395/toyota/crown/vic/st-kilda/limousine,sold,2026-01-25T15:33:31,2026-01-25T18:47:02,15300.0,2026-01-25T15:33:31,2026-01-28T04:26:19,2008,Toyota,Crown,,Sedan,93400.0,Automatic,,Unleaded,VIC
car/14715857/toyota/aurion/vic/west-footscray/sedan,active,2026-01-25T15:33:31,2026-02-27T23:28:58,6990.0,2026-02-18T21:39:48,,2007,Toyota,Aurion,At-X,Sedan,266850,Automatic,2025-11-17,Unleaded,VIC
car/14900646/toyota/avensis/vic/footscray/people-mover,sold,2026-01-25T15:33:31,2026-01-30T17:02:17,6450.0,2026-01-25T15:33:31,2026-02-12T06:04:59,2006,Toyota,Avensis,Verso Glx,Wagon,268391.0,Automatic,,Unleaded,VIC
car/14488877/toyota/rav4/vic/west-footscray/suv,active,2026-01-25T15:33:31,2026-02-27T23:28:58,19990.0,2026-01-25T15:33:31,,2014,Toyota,RAV4,Gxl (2Wd),Wagon,183399,Automatic,2025-05-29,Unleaded,VIC
car/14730074/toyota/yaris-cross-hybrid/vic/melbourne/hatchback,sold,2026-01-25T15:33:31,2026-01-25T18:47:02,43490.0,2026-01-25T15:33:31,2026-01-28T04:26:19,2024,Toyota,YARIS CROSS HYBRID,YARIS CROSS HYBRID URBAN 1.5L AUTO CVT HATCH,Hatch,2059.0,,2026-04-11,Hybrid,VIC
car/14813973/toyota/landcruiser/vic/nunawading/suv,sold,2026-01-25T15:33:31,2026-02-12T21:45:20,112990.0,2026-02-12T06:04:59,2026-02-15T04:41:58,2021,Toyota,Landcruiser,Lc300 Sahara (4X4),Wagon,84835.0,Automatic,2026-06-15,Diesel,VIC
car/14823019/toyota/hiace/vic/heidelberg/van,sold,2026-01-25T15:33:31,2026-01-30T17:02:17,61777.0,2026-01-28T04:26:19,2026-02-12T06:04:59,2025,Toyota,HiAce,Lwb (4 Door Option),Van,45.0,Automatic,2026-05-25,Diesel,VIC
car/14778126/toyota/gr86/vic/heidelberg/coupe,sold,2026-01-25T15:33:31,2026-01-28T04:26:19,47555.0,2026-01-25T15:33:31,2026-01-30T01:30:27,2024,Toyota,GR86,Gts,Coupe,11278.0,Automatic,2026-05-08,Premium,VIC
car/14864141/toyota/hiace/vic/essendon-fields/van,sold,2026-01-25T15:33:31,2026-01-30T01:30:27,54890.0,2026-01-25T15:33:31,2026-01-30T17:02:17,2024,Toyota,HiAce,Lwb Barn Door,Van,13589.0,Automatic,2026-04-16,Diesel,VIC
car/14847292/toyota/corolla/vic/mentone/sedan,active,2026-01-25T15:33:31,2026-02-27T23:28:58,30990.0,2026-02-12T06:04:59,,2022,Toyota,Corolla,Ascent Sport Hybrid,Sedan,19605,Automatic,,Hybrid,VIC
