year,make,model,variant,body_type,odometer,transmission,rego,price,fuel_type,location,url,scrape_date,canonical_tag,canonical_reason
2013,Holden,Captiva,7 Lx (4X4),Wagon,152000,Automatic,2026-08-08,8788,Diesel,VIC,car/14987665/holden/captiva/vic/mordialloc/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2010,Volkswagen,Golf,118 Tsi Comfortline,Hatchback,246191,Manual,,4990,Premium,VIC,car/14918980/volkswagen/golf/vic/west-footscray/hatchback,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2011,Land Rover,Range Rover Sport,3.0 Tdv6 Luxury,Wagon,164125,Automatic,,16990,Diesel,VIC,car/14834592/land-rover/range-rover-sport/vic/coburg-north/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2019,Subaru,Forester,2.5I Premium (Awd),Wagon,102405,Automatic,,26990,Unleaded,VIC,car/14884836/subaru/forester/vic/thomastown/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2015,Renault,Master,Swb Low,Van,192131,Automatic,2025-10-31,14990,Diesel,VIC,car/14959109/renault/master/vic/coburg-north/van,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2009,Holden,Commodore,Sv6,Sportswagon,164000,Automatic,,10999,Unleaded,VIC,car/14920132/holden/commodore/vic/footscray/wagon,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2017,Renault,Koleos,Zen (4X4),Wagon,86500,Automatic,2026-01-19,18753,Premium,VIC,car/14854411/renault/koleos/vic/airport-west/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2009,Ford,Falcon,Xr6,Sedan,320028,Automatic,2026-10-21,5990,Unleaded,VIC,car/14944064/ford/falcon/vic/west-footscray/sedan,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2020,Toyota,Yaris,HYBRID X--S,SUV,106287,Automatic,,17999,Hybrid,VIC,car/14908868/toyota/yaris/vic/st-kilda/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2017,Mercedes-Benz,C200,,Sedan,104794,Automatic,,26990,Premium,VIC,car/14834164/mercedes-benz/c200/vic/cranbourne-west/sedan,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
