year,make,model,variant,body_type,odometer,transmission,rego,price,fuel_type,location,url,scrape_date,canonical_tag,canonical_reason,status,first_seen,last_seen,last_price,last_price_date,sold_date,source,make_norm,model_norm,variant_norm,transmission_norm,fuel_norm,body_norm,year_int,price_value,odometer_value
2018,Toyota,HiAce,Commuter,Bus,98000.0,Automatic,2026-06-29,44990.0,Diesel,VIC,car/14822255/toyota/hiace/vic/nunawading/people-mover,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,hiace,commuter,automatic,diesel,bus,2018,44990.0,98000.0
2024,Toyota,RAV4,Cruiser (2Wd) Hybrid,Wagon,23737.0,Automatic,2026-04-09,56990.0,Hybrid,VIC,car/14814242/toyota/rav4/vic/melbourne/suv,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,rav4,cruiser 2wd hybrid,automatic,hybrid,wagon,2024,56990.0,23737.0
2009,Toyota,Corolla,Ascent,Hatchback,321522.0,Automatic,2026-01-02,6688.0,Unleaded,VIC,car/14830803/toyota/corolla/vic/braybrook/hatchback,2026-01-25T15:12:25,toyota_corolla_ascent_petrol_auto_hatch_zre18x,[OK],,,,,,,,toyota,corolla,ascent,automatic,unleaded,hatchback,2009,6688.0,321522.0
2024,Toyota,RAV4,Gx (Awd) Hybrid,Wagon,9004.0,Automatic,2026-09-16,48970.0,Hybrid,VIC,car/14894814/toyota/rav4/vic/keysborough/suv,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,rav4,gx awd hybrid,automatic,hybrid,wagon,2024,48970.0,9004.0
2018,Toyota,C-HR,(HYBRID)  -(S),SUV,72471.0,Automatic,,25500.0,Hybrid,VIC,car/14826313/toyota/c-hr/vic/st-kilda/suv,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,c hr,hybrid s,automatic,hybrid,suv,2018,25500.0,72471.0
1997,Toyota,Paseo,,Coupe,346720.0,Manual,2026-01-25,6999.0,Unleaded,VIC,car/14811924/toyota/paseo/vic/braybrook/coupe,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,paseo,,manual,unleaded,coupe,1997,6999.0,346720.0
2010,Toyota,Landcruiser Prado,Gxl (4X4),Wagon,263920.0,Automatic,2026-01-26,24990.0,Diesel,VIC,car/14826986/toyota/landcruiser-prado/vic/cranbourne-west/suv,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,landcruiser prado,gxl 4x4,automatic,diesel,wagon,2010,24990.0,263920.0
2018,Toyota,C-HR,(HYBRID),SUV,82800.0,Automatic,,24900.0,Hybrid,VIC,car/14826272/toyota/c-hr/vic/st-kilda/suv,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,c hr,hybrid,automatic,hybrid,suv,2018,24900.0,82800.0
2020,Toyota,Corolla,TOURING (HYBRID)-S,SUV,162321.0,Automatic,,19499.0,Hybrid,VIC,car/14912820/toyota/corolla/vic/st-kilda/suv,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,corolla,touring hybrid s,automatic,hybrid,suv,2020,19499.0,162321.0
2007,Toyota,Yaris,Yr,Hatchback,167480.0,Manual,,7333.0,Unleaded,VIC,car/14807423/toyota/yaris/vic/oakleigh/hatchback,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,yaris,yr,manual,unleaded,hatchback,2007,7333.0,167480.0
