event_date,event,url,price,previous_price,price_change,year,make,model,variant,body_type,odometer,transmission,rego,fuel_type,location
2026-01-25T15:33:31,listed,car/14887127/toyota/kluger/vic/south-melbourne/suv,67880.0,,,2022,Toyota,Kluger,Grande Hybrid Awd,Wagon,27983,Automatic,2026-10-17,Hybrid,VIC
2026-01-25T15:33:31,listed,car/14885837/toyota/camry/vic/maidstone/sedan,15500.0,,,2014,Toyota,Camry,Atara Sx,Sedan,143950,Automatic,,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14886200/toyota/rav4/vic/braybrook/suv,17999.0,,,2014,Toyota,RAV4,Gxl (4X4),Wagon,187719,Automatic,,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14841710/toyota/landcruiser-prado/vic/west-footscray/suv,41990.0,,,2021,Toyota,Landcruiser Prado,Gx,Wagon,238185,Automatic,2026-10-28,Diesel,VIC
2026-01-25T15:33:31,listed,car/14830069/toyota/landcruiser-prado/vic/ringwood/suv,14990.0,,,2003,Toyota,Landcruiser Prado,GRANDE 4X4,SUV,438810,Automatic,2026-04-26,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14796499/toyota/kluger/vic/west-footscray/suv,28990.0,,,2018,Toyota,Kluger,Gx (4X4),Wagon,190908,Automatic,2026-02-12,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14894947/toyota/hiace/vic/elsternwick/van,42990.0,,,2021,Toyota,HiAce,Lwb Gl (Colours),Van,117004,Automatic,,Diesel,VIC
2026-01-25T15:33:31,listed,car/14802595/toyota/hilux/vic/tullamarine/dual-cab,38990.0,,,2019,Toyota,Hilux,Sr (4X4),Double Cab Chassis,199883,Manual,2026-02-10,Diesel,VIC
2026-01-25T15:33:31,listed,car/14905526/toyota/noah/vic/maidstone/van,21995.0,,,2016,Toyota,Noah,,Commercial,105500,Automatic,,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14887673/toyota/corolla/vic/elsternwick/sedan,9990.0,,,2007,Toyota,Corolla,Conquest,Sedan,207908,Automatic,,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14894815/toyota/camry/vic/keysborough/sedan,30970.0,,,2018,Toyota,Camry,Ascent,Sedan,53363,Automatic,2026-11-05,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14886225/toyota/hiace/vic/braybrook/van,24999.0,,,2014,Toyota,HiAce,Lwb,Van,195102,Automatic,2025-09-30,Diesel,VIC
2026-01-25T15:33:31,listed,car/14853127/toyota/rav4/vic/south-melbourne/suv,58888.0,,,2024,Toyota,RAV4,Cruiser (2Wd) Hybrid,Wagon,16716,Automatic,2026-03-28,Hybrid,VIC
2026-01-25T15:33:31,listed,car/14910432/toyota/landcruiser-prado/vic/officer/suv,31975.0,,,2011,Toyota,Landcruiser Prado,Gxl (4X4),Wagon,253869,Manual,,Diesel,VIC
2026-01-25T15:33:31,listed,car/14902284/toyota/kluger/vic/tottenham/suv,40888.0,,,2022,Toyota,Kluger,Gx 2Wd,Wagon,85491,Automatic,2026-08-19,Premium,VIC
2026-01-25T15:33:31,listed,car/14858531/toyota/yaris/vic/maidstone/hatchback,11989.0,,,2012,Toyota,Yaris,Yrx,Hatchback,200011,Automatic,,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14892296/toyota/camry/vic/keysborough/sedan,26970.0,,,2018,Toyota,Camry,Ascent,Sedan,108667,Automatic,2026-03-01,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14826270/toyota/camry/vic/st-kilda/sedan,25500.0,,,2018,Toyota,Camry,Ascent,Sedan,151287,Automatic,2025-10-17,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14820553/toyota/rav4/vic/elsternwick/suv,39750.0,,,2021,Toyota,RAV4,Gx (Awd) Hybrid,Wagon,37349,Automatic,,Hybrid,VIC
2026-01-25T15:33:31,listed,car/14890947/toyota/hilux/vic/tullamarine/dual-cab,37990.0,,,2017,Toyota,Hilux,Sr5 (4X4),Dual Cab Utility,190011,Automatic,2026-03-21,Diesel,VIC
2026-01-25T15:33:31,listed,car/14872951/toyota/hilux/vic/elsternwick/dual-cab,69990.0,,,2021,Toyota,Hilux,Rugged X (4X4),Double Cab Pick Up,69653,Automatic,,Diesel,VIC
2026-01-25T15:33:31,listed,car/14885953/toyota/mark-x/vic/maidstone/limousine,17995.0,,,2013,Toyota,Mark X,PREMIUM,Sedan,46420,Automatic,,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14885068/toyota/corolla-cross/vic/elsternwick/suv,49990.0,,,2022,Toyota,Corolla Cross,Atmos Awd Hybrid,Wagon,14781,Automatic,,Hybrid,VIC
2026-01-25T15:33:31,listed,car/14857698/toyota/hilux/vic/melbourne/pickup,39490.0,,,2021,Toyota,Hilux,WORKMATE,Ute Tray,112302,Automatic,2026-06-17,Other,VIC
2026-01-25T15:33:31,listed,car/14897064/toyota/camry/vic/elsternwick/sedan,49990.0,,,2023,Toyota,Camry,Sl Hybrid,Sedan,31378,Automatic,,Hybrid,VIC
2026-01-25T15:33:31,listed,car/14891171/toyota/hilux/vic/tottenham/dual-cab,51888.0,,,2018,Toyota,Hilux,Rogue (4X4),Dual Cab Utility,110677,Automatic,2026-02-26,Diesel,VIC
2026-01-25T15:33:31,listed,car/14809744/toyota/corolla/vic/maidstone/sedan,7990.0,,,2007,Toyota,Corolla,Ascent,Sedan,201150,Automatic,2026-02-03,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14910684/toyota/hilux/vic/tottenham/dual-cab,50888.0,,,2022,Toyota,Hilux,Sr5 Hi-Rider (4X2),Double Cab Pick Up,30811,Automatic,2026-08-15,Diesel,VIC
2026-01-25T15:33:31,listed,car/14886201/toyota/kluger/vic/braybrook/suv,11499.0,,,2007,Toyota,Kluger,Kx-S (Fwd),Wagon,236033,Automatic,2025-10-25,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14871751/toyota/rav4/vic/south-melbourne/suv,59990.0,,,2024,Toyota,RAV4,Xse (Awd) Hybrid Premium Paint,Wagon,15211,Automatic,2026-11-07,Hybrid,VIC
