year,make,model,variant,body_type,odometer,transmission,rego,price,fuel_type,location,url,scrape_date,canonical_tag,canonical_reason
2025,Toyota,RAV4,Gx (2Wd) Hybrid,Wagon,30890,Automatic,,46950,Hybrid,VIC,car/14899922/toyota/rav4/vic/elsternwick/suv,2026-01-25T15:12:25,,
2012,Toyota,Kluger,Grande (Fwd),Wagon,270483,Automatic,,12500,Unleaded,VIC,car/14916684/toyota/kluger/vic/maidstone/suv,2026-01-25T15:12:25,,
2019,Toyota,Corolla,Ascent Sport,Hatchback,39149,Automatic,2026-07-31,25970,Unleaded,VIC,car/14894813/toyota/corolla/vic/keysborough/hatchback,2026-01-25T15:12:25,,
2014,Toyota,HiAce,Lwb,Van,577848,Manual,2026-08-25,12988,Diesel,VIC,car/14870537/toyota/hiace/vic/braybrook/van,2026-01-25T15:12:25,,
2008,Toyota,Yaris,Yrs,Sedan,105744,Automatic,,11777,Unleaded,VIC,car/14810520/toyota/yaris/vic/elsternwick/sedan,2026-01-25T15:12:25,,
2025,Toyota,Hilux,Sr5 48V (4X4),Double Cab Pick Up,2914,Automatic,2026-09-01,66970,Hybrid,VIC,car/14843912/toyota/hilux/vic/keysborough/dual-cab,2026-01-25T15:12:25,,
2020,Toyota,Corolla,,SUV,81396,Automatic,,18995,Unleaded,VIC,car/14791212/toyota/corolla/vic/maidstone/suv,2026-01-25T15:12:25,,
2011,Toyota,Kluger,Grande (4X4),Wagon,182917,Automatic,,19990,Unleaded,VIC,car/14808010/toyota/kluger/vic/west-footscray/suv,2026-01-25T15:12:25,,
2012,Toyota,Alphard,ANH20 8 SEATER,SUV,62092,Automatic,,23990,Unleaded,VIC,car/14918774/toyota/alphard/vic/clayton-south/suv,2026-01-25T15:12:25,,
2018,Toyota,Kluger,Gxl (4X2),Wagon,76301,Automatic,,37990,Unleaded,VIC,car/14864846/toyota/kluger/vic/south-melbourne/suv,2026-01-25T15:12:25,,
2024,Toyota,Tundra,,OtherCar,11121,Automatic,,148990,Other,VIC,car/14885067/toyota/tundra/vic/elsternwick/othercar,2026-01-25T15:12:25,,
