year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,bids,price,date_sold
2013,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,338313,5.0,JTNBU56E20J104430,No plates,Unregistered,4,1.8,Silver,Grey,Yes,No,No,No,Yes,qld,https://www.grays.com/lot/0001-50515262/motor-vehicles-motor-cycles/2013-toyota-corolla-ascent-zre152r-automatic-sedan,"dents or marks on body consistent with age and kilometres.
medium scuff on lh rear bumper",38,3509,2025-05-21
2013,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,355273,5.0,JTNBU56E40J104672,No plates,Unregistered,4,1.8,Silver,Grey,Yes,No,No,No,Yes,qld,https://www.grays.com/lot/0001-50515257/motor-vehicles-motor-cycles/2013-toyota-corolla-ascent-zre152r-automatic-sedan,dents or marks on body consistent with age and kilometres.,32,2909,2025-05-21
2014,HYUNDAI,I30,active gd,Hatchback,Automatic,Petrol,80910,5.0,KMHD251EMEU195531,1IOC953,06-08-2025,4,1.8,Silver,Grey,Yes,Yes,Yes,Yes,Yes,wa,https://www.grays.com/lot/0001-9059869/motor-vehicles-motor-cycles/2014-hyundai-i30-active-gd-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
engine noise observed.
front seat marks driver &amp; passenger
medium scuff on rear quarter panel",72,7100,2025-05-27
2008,TOYOTA,Yaris,yr ncp90r,Hatchback,Automatic,Petrol,262116,5.0,JTDJW923405115847,WQZ282,10-10-2025,4,1.3,White,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21049642/motor-vehicles-motor-cycles/2008-toyota-yaris-yr-ncp90r-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
medium scratch on various along panel
medium scuff on various along panel
back bumper cracked bumper.
corrosion visible left panel",34,3200,2025-05-28
2011,MAZDA,3,maxx bl,Hatchback,Automatic,Petrol,278674,5.0,JM0BL10F100241303,YNA892,08/08/2025,4,2,Blue,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21049767/motor-vehicles-motor-cycles/2011-mazda-3-maxx-bl-automatic-hatchback,"rear bar cracked bumper.
dents or marks on body consistent with age and kilometres.
large scratch on bonnet
paint peeling rh mirror
paint fading around the car
paint peeling around the car",54,4700,2025-06-01
2013,MAZDA,3,neo bl,Hatchback,Automatic,Petrol,192565,5.0,JM0BL10F200420613,1AC9CG,12-09-2025,4,2,Silver,Black,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21049944/motor-vehicles-motor-cycles/2013-mazda-3-neo-bl-automatic-hatchback,"medium scratch on various parts on panels
medium dent on various parts on panels",63,6100,2025-06-03
2012,HYUNDAI,I30,active gd,Hatchback,Automatic,Petrol,259059,5.0,KMHD251EMDU073695,1EEP640,18-07-2025,4,1.8,Silver,Grey,Yes,Yes,Yes,Yes,Yes,wa,https://www.grays.com/lot/0001-9060250/motor-vehicles-motor-cycles/2012-hyundai-i30-active-gd-automatic-hatchback,dents or marks on body consistent with age and kilometres.,45,4400,2025-06-04
2014,HYUNDAI,I30,active gd,Hatchback,Automatic,Petrol,109737,5.0,KMHD251EMEU229865,1EB9XG,19-08-2025,4,1.8,Grey,Black,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21050036/motor-vehicles-motor-cycles/2014-hyundai-i30-active-gd-automatic-hatchback,"medium scratch on various parts on panels
medium dent on various parts on panels
engine noise observed.",35,5800,2025-06-04
2013,HYUNDAI,I30,trophy gd,Hatchback,Automatic,Petrol,126343,5.0,KMHD351EMEU163075,1AZ5QI,29-01-2026,4,1.8,Silver,Black Leather,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21050025/motor-vehicles-motor-cycles/2013-hyundai-i30-trophy-gd-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
large dent on various parts of panel
large scuff on various parts of panel
large scratch on various parts of panel",65,7900,2025-06-04
2009,TOYOTA,Yaris,yr ncp90r,Hatchback,Automatic,Petrol,332323,5.0,JTDJW923X05132538,1AY6VH,27-08-2025,4,1.3,White,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21050109/motor-vehicles-motor-cycles/2009-toyota-yaris-yr-ncp90r-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
large dent on various parts of panel
body/panel damage various parts of panel
large scuff on various parts of panel
large scratch on various parts of panel",32,2809,2025-06-05
