part,pick_price,warranty_price,core_deposit,models_2008_on
Engine Splash tray,$30,$36,,P.O.A
Engine Stud,$2,$2.40,,P.O.A
Engine Sump Steel,$55,$66,,P.O.A
Engine Sump Alloy,$75,$90,,P.O.A
Engine Throttle Body Bare,$45,$54,,P.O.A
Engine Throttle Body Complete,$65,$78,,P.O.A
Engine Timing Chain,$10,$12,,P.O.A
Engine Timing Cover Plastic,$20,$24,,P.O.A
Engine Timing Cover Alloy,$45,$54,,P.O.A
Exhaust Catalytic Converter,P.O.A,P.O.A,,P.O.A
Exhaust Muffler Rear,$35,$42,,P.O.A
Exhaust Muffler Middle,$50,$60,,P.O.A
Exhaust Muffler Front,$35,$42,,P.O.A
Exhaust Pipe Straight Section,$15,$18,,P.O.A
Exhaust Muffler System,$110,$132,,P.O.A
Extractors 3/4/6,$55,$66,,P.O.A
Extractors Pair,$120,$144,,P.O.A
Exhaust Clamp,$2,$2.40,,P.O.A
F,F,F,F,F
Fan Blades Standard,$25,$30,,P.O.A
Fan Blades Viscous,$30,$36,,P.O.A
Fan Blades Viscous Centre,$45,$54,,P.O.A
Fan Thermo Electric Single,$30,$36,,P.O.A
Fan Thermo Electric Twin,$55,$66,,P.O.A
Heater Blower Fan,$35,$42,,P.O.A
Filter Air Element,$10,$12,,P.O.A
Filter Oil,$5,$6,,P.O.A
Filter Petrol,$5,$6,,P.O.A
Flywheel,$50,$60,,P.O.A
Flywheel V8/4WD/Commercial,$65,$78,,P.O.A
Fuel Release Lever,$10,$12,,P.O.A
Fuse Box,$40,$48,,P.O.A
Fuse Box Cover,$10,$12,,P.O.A
G,G,G,G,G
Garnish Full Type across Boot or Hatch,$55,$66,,P.O.A
Garnish Full Type across Boot or Hatch Small,$30,$36,,P.O.A
Garnish Quarter Glass Inner,$15,$18,,P.O.A
Garnish Rear Tailgate,$35,$42,,P.O.A
Gas Tank Cradle,$20,$24,,P.O.A
Gas Point Filler,$15,$18,,P.O.A
Gas Line Filler,$15,$18,,P.O.A
Gas LPG Computer,$30,$36,,P.O.A
Gas LPG Line Steel/Copper,$20,$24,,P.O.A
Gas LPG Converter,$85 to $185,$102 to $222,,P.O.A
Gas LPG Tank in Date,$50,$60,,P.O.A
Gas LPG Tank Out of Date,$20,$24,,P.O.A
Gas LPG Mixer,$55,$66,,P.O.A
Gas LPG Kit,$150,$180,,P.O.A
Gas LPG Switch,$20,$24,,P.O.A
