scraped_at,url,row_index,bidding_details,bidder_name,bid_time,bid_price,bid_qty,win_qty,reserve_met
2026-01-09T03:44:29.389557,https://www.grays.com/lot/0001-10352059/motor-vehicles-motor-cycles/2013-mitsubishi-asx-4wd-xb-turbo-diesel-automatic-wagon,1,S.D - SEMAPHORE SOUTH SA,S.D - SEMAPHORE SOUTH SA,07/01/2026 8.25.54 PM AEDT,"AU $ 5,700",1,1,False
2026-01-09T03:44:29.389557,https://www.grays.com/lot/0001-10352059/motor-vehicles-motor-cycles/2013-mitsubishi-asx-4wd-xb-turbo-diesel-automatic-wagon,2,P.S - Lockleys SA,P.S - Lockleys SA,07/01/2026 8.15.56 PM AEDT,"AU $ 5,600",1,0,False
2026-01-09T03:44:29.389557,https://www.grays.com/lot/0001-10352059/motor-vehicles-motor-cycles/2013-mitsubishi-asx-4wd-xb-turbo-diesel-automatic-wagon,3,Y.Z - Marsden Park NSW,Y.Z - Marsden Park NSW,07/01/2026 8.07.00 PM AEDT,"AU $ 5,500",1,0,False
2026-01-09T03:44:29.389557,https://www.grays.com/lot/0001-10352059/motor-vehicles-motor-cycles/2013-mitsubishi-asx-4wd-xb-turbo-diesel-automatic-wagon,4,S.A - Tarneit VIC,S.A - Tarneit VIC,07/01/2026 7.31.11 PM AEDT,"AU $ 5,300",1,0,False
2026-01-09T03:44:29.389557,https://www.grays.com/lot/0001-10352059/motor-vehicles-motor-cycles/2013-mitsubishi-asx-4wd-xb-turbo-diesel-automatic-wagon,5,R.R - SOUTHPORT QLD,R.R - SOUTHPORT QLD,07/01/2026 7.30.15 PM AEDT,"AU $ 5,200",1,0,False
2026-01-09T03:44:29.389557,https://www.grays.com/lot/0001-10352059/motor-vehicles-motor-cycles/2013-mitsubishi-asx-4wd-xb-turbo-diesel-automatic-wagon,6,M.T - Liverpool NSW,M.T - Liverpool NSW,07/01/2026 7.26.33 PM AEDT,"AU $ 5,100",1,0,False
2026-01-09T03:44:29.389557,https://www.grays.com/lot/0001-10352059/motor-vehicles-motor-cycles/2013-mitsubishi-asx-4wd-xb-turbo-diesel-automatic-wagon,7,L.I - Narrabeen NSW,L.I - Narrabeen NSW,07/01/2026 7.08.48 PM AEDT,"AU $ 5,000",1,0,False
2026-01-09T03:44:29.389557,https://www.grays.com/lot/0001-10352059/motor-vehicles-motor-cycles/2013-mitsubishi-asx-4wd-xb-turbo-diesel-automatic-wagon,8,P.C - Rosehill NSW,P.C - Rosehill NSW,07/01/2026 5.12.52 PM AEDT,"AU $ 4,400",1,0,False
2026-01-09T03:44:29.389557,https://www.grays.com/lot/0001-10352059/motor-vehicles-motor-cycles/2013-mitsubishi-asx-4wd-xb-turbo-diesel-automatic-wagon,9,B.W - East Bendigo VIC,B.W - East Bendigo VIC,07/01/2026 1.57.34 AM AEDT,"AU $ 3,600",1,0,False
2026-01-09T03:44:29.389557,https://www.grays.com/lot/0001-10352059/motor-vehicles-motor-cycles/2013-mitsubishi-asx-4wd-xb-turbo-diesel-automatic-wagon,10,l.k - Dubbo NSW,l.k - Dubbo NSW,06/01/2026 11.08.54 PM AEDT,"AU $ 3,500",1,0,False
2026-01-09T03:44:29.389557,https://www.grays.com/lot/0001-10352059/motor-vehicles-motor-cycles/2013-mitsubishi-asx-4wd-xb-turbo-diesel-automatic-wagon,11,N.M - Berwick VIC,N.M - Berwick VIC,06/01/2026 10.28.35 PM AEDT,"AU $ 3,300",1,0,False
2026-01-09T03:44:29.389557,https://www.grays.com/lot/0001-10352059/motor-vehicles-motor-cycles/2013-mitsubishi-asx-4wd-xb-turbo-diesel-automatic-wagon,12,J.S - Gray NT,J.S - Gray NT,06/01/2026 9.27.12 PM AEDT,"AU $ 3,200",1,0,False
2026-01-09T03:44:29.389557,https://www.grays.com/lot/0001-10352059/motor-vehicles-motor-cycles/2013-mitsubishi-asx-4wd-xb-turbo-diesel-automatic-wagon,13,M.P - Calderwood NSW,M.P - Calderwood NSW,06/01/2026 9.00.50 PM AEDT,"AU $ 3,100",1,0,False
2026-01-09T03:44:29.389557,https://www.grays.com/lot/0001-10352059/motor-vehicles-motor-cycles/2013-mitsubishi-asx-4wd-xb-turbo-diesel-automatic-wagon,14,E.I - Guildford NSW,E.I - Guildford NSW,06/01/2026 3.44.29 PM AEDT,"AU $ 3,000",1,0,False
2026-01-09T03:44:29.389557,https://www.grays.com/lot/0001-10352059/motor-vehicles-motor-cycles/2013-mitsubishi-asx-4wd-xb-turbo-diesel-automatic-wagon,15,G.H - Berwick VIC,G.H - Berwick VIC,06/01/2026 2.45.02 PM AEDT,"AU $ 2,942",1,0,False
2026-01-09T03:44:29.389557,https://www.grays.com/lot/0001-10352059/motor-vehicles-motor-cycles/2013-mitsubishi-asx-4wd-xb-turbo-diesel-automatic-wagon,16,j.s - BLACKTOWN NSW,j.s - BLACKTOWN NSW,05/01/2026 7.10.04 PM AEDT,"AU $ 2,400",1,0,False
2026-01-09T03:44:29.389557,https://www.grays.com/lot/0001-10352059/motor-vehicles-motor-cycles/2013-mitsubishi-asx-4wd-xb-turbo-diesel-automatic-wagon,17,A.F - ROCKDALE NSW,A.F - ROCKDALE NSW,04/01/2026 9.02.24 PM AEDT,"AU $ 2,300",1,0,False
2026-01-09T03:44:29.389557,https://www.grays.com/lot/0001-10352059/motor-vehicles-motor-cycles/2013-mitsubishi-asx-4wd-xb-turbo-diesel-automatic-wagon,18,p.m - warwick farm NSW,p.m - warwick farm NSW,04/01/2026 4.29.27 PM AEDT,"AU $ 2,200",1,0,False
2026-01-09T03:44:29.389557,https://www.grays.com/lot/0001-10352059/motor-vehicles-motor-cycles/2013-mitsubishi-asx-4wd-xb-turbo-diesel-automatic-wagon,19,M.R - The Summit QLD,M.R - The Summit QLD,04/01/2026 4.19.15 PM AEDT,"AU $ 2,100",1,0,False
2026-01-09T03:44:29.389557,https://www.grays.com/lot/0001-10352059/motor-vehicles-motor-cycles/2013-mitsubishi-asx-4wd-xb-turbo-diesel-automatic-wagon,20,F.C - Noarlunga Downs SA,F.C - Noarlunga Downs SA,04/01/2026 1.57.22 AM AEDT,"AU $ 1,809",1,0,False
2026-01-09T03:44:29.389557,https://www.grays.com/lot/0001-10352059/motor-vehicles-motor-cycles/2013-mitsubishi-asx-4wd-xb-turbo-diesel-automatic-wagon,21,W.P - Clayton South VIC,W.P - Clayton South VIC,02/01/2026 12.39.33 AM AEDT,"AU $ 1,709",1,0,False
2026-01-09T03:44:29.389557,https://www.grays.com/lot/0001-10352059/motor-vehicles-motor-cycles/2013-mitsubishi-asx-4wd-xb-turbo-diesel-automatic-wagon,22,m.r - wallalong NSW,m.r - wallalong NSW,01/01/2026 9.31.33 PM AEDT,"AU $ 1,609",1,0,False
2026-01-09T03:44:29.389557,https://www.grays.com/lot/0001-10352059/motor-vehicles-motor-cycles/2013-mitsubishi-asx-4wd-xb-turbo-diesel-automatic-wagon,23,P.S - Blacktown NSW,P.S - Blacktown NSW,01/01/2026 8.18.14 PM AEDT,"AU $ 1,509",1,0,False
2026-01-09T03:44:29.389557,https://www.grays.com/lot/0001-10352059/motor-vehicles-motor-cycles/2013-mitsubishi-asx-4wd-xb-turbo-diesel-automatic-wagon,24,A.N - Lawnton QLD,A.N - Lawnton QLD,01/01/2026 9.36.54 AM AEDT,"AU $ 1,409",1,0,False
2026-01-09T03:44:29.389557,https://www.grays.com/lot/0001-10352059/motor-vehicles-motor-cycles/2013-mitsubishi-asx-4wd-xb-turbo-diesel-automatic-wagon,25,A.H - BRIGHTON LE SANDS NSW,A.H - BRIGHTON LE SANDS NSW,30/12/2025 7.56.33 PM AEDT,"AU $ 1,309",1,0,False
2026-01-09T03:44:29.389557,https://www.grays.com/lot/0001-10352059/motor-vehicles-motor-cycles/2013-mitsubishi-asx-4wd-xb-turbo-diesel-automatic-wagon,26,J.G - Orange NSW,J.G - Orange NSW,28/12/2025 1.26.57 PM AEDT,"AU $ 1,109",1,0,False
2026-01-09T03:44:29.389557,https://www.grays.com/lot/0001-10352059/motor-vehicles-motor-cycles/2013-mitsubishi-asx-4wd-xb-turbo-diesel-automatic-wagon,27,F.A - Rosehill NSW,F.A - Rosehill NSW,27/12/2025 8.32.34 PM AEDT,AU $ 409,1,0,False
2026-01-09T03:44:29.389557,https://www.grays.com/lot/0001-10352059/motor-vehicles-motor-cycles/2013-mitsubishi-asx-4wd-xb-turbo-diesel-automatic-wagon,28,J.B - Ormeau QLD,J.B - Ormeau QLD,25/12/2025 4.12.40 PM AEDT,AU $ 209,1,0,False
